客户名称,渠道,服务期限,数量,结算月份,不含税收入,开始计费月份,结束计费月份,不含税单价,月摊收入,2017年摊销金额,2017年末累计摊销余额,2018年摊销金额,2018年末累计摊销余额,2019年摊销金额,2019年末累计摊销余额,2020年摊销金额,2020年末累计摊销余额,2021年摊销金额,2021年末累计摊销余额,2022年摊销金额,2022年末累计摊销余额,产品分类,激活开始月份,激活结束月份 
广汇汽车,广汇,36,63,2017-05,5645.3608,2017-05,2020-04-30 00:00:00,89.60890158730159,156.81557777777778,1254.5246222222222,4390.836177777778,1881.7869333333333,2509.049244444445,1881.7869333333333,627.2623111111116,627.2623111111111,0,0,0,0,0,追踪器,2017-03-01 00:00:00,2020-02-29 00:00:00
广汇汽车,广汇,36,4,2017-05,358.4356,2017-05,2020-04-30 00:00:00,89.6089,9.956544444444445,79.65235555555556,278.78324444444445,119.47853333333333,159.30471111111112,119.47853333333333,39.82617777777779,39.82617777777778,0,0,0,0,0,追踪器,2017-01-01 00:00:00,2019-12-31 00:00:00
广汇汽车,广汇,36,1329,2017-05,119090.2307,2017-05,2020-04-30 00:00:00,89.60890195635817,3308.061963888889,26464.49571111111,92625.73498888889,39696.743566666664,52928.99142222222,39696.743566666664,13232.247855555557,13232.247855555555,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,1722,2017-06,236042.6455,2017-06,2020-05-31 00:00:00,137.07470702671313,6556.740152777778,45897.18106944445,190145.46443055556,78680.88183333335,111464.58259722221,78680.88183333335,32783.70076388886,32783.70076388889,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,1056,2017-07,144754.0488,2017-07,2020-06-30 00:00:00,137.07769772727272,4020.9457999999995,24125.674799999997,120628.374,48251.349599999994,72377.0244,48251.349599999994,24125.6748,24125.674799999997,0,0,0,0,0,追踪器,2017-05-01 00:00:00,2020-04-30 00:00:00
广汇汽车,广汇,36,602,2017-07,82520.774,2017-07,2020-06-30 00:00:00,137.0776976744186,2292.2437222222225,13753.462333333335,68767.31166666668,27506.92466666667,41260.387,27506.92466666667,13753.462333333333,13753.462333333335,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,48,2017-07,6579.7295,2017-07,2020-06-30 00:00:00,137.07769791666666,182.7702638888889,1096.6215833333335,5483.107916666667,2193.243166666667,3289.8647499999997,2193.243166666667,1096.6215833333326,1096.6215833333335,0,0,0,0,0,追踪器,2017-06-01 00:00:00,2020-05-31 00:00:00
广汇汽车,广汇,36,1933,2017-08,266507.532,2017-08,2020-07-31 00:00:00,137.87249456802897,7402.987,37014.935,229492.597,88835.844,140656.75300000003,88835.844,51820.90900000003,51820.909,0,0,0,0,0,追踪器,2017-06-01 00:00:00,2020-05-31 00:00:00
广汇汽车,广汇,36,1328,2017-09,216659.7431,2017-09,2020-08-31 00:00:00,163.1473969126506,6018.326197222222,24073.304788888887,192586.4383111111,72219.91436666666,120366.52394444443,72219.91436666666,48146.60957777777,48146.609577777774,0,0,0,0,0,追踪器,2017-07-01 00:00:00,2020-06-30 00:00:00
长春沃杰斯汽车科技有限公司,直销,36,304,2017-09,34730.6617,2017-09,2020-08-31 00:00:00,114.24559769736841,964.7406027777777,1929.4812055555553,32801.180494444445,11576.887233333331,21224.293261111114,11576.887233333331,9647.406027777783,9647.406027777777,0,0,0,0,0,追踪器,2017-11-01 00:00:00,2020-10-31 00:00:00
