客户名称,渠道,服务期限,数量,结算月份,不含税收入,开始计费月份,结束计费月份,不含税单价,月摊收入,2017年摊销金额,2017年末累计摊销余额,2018年摊销金额,2018年末累计摊销余额,2019年摊销金额,2019年末累计摊销余额,2020年摊销金额,2020年末累计摊销余额,2021年摊销金额,2021年末累计摊销余额,2022年摊销金额,2022年末累计摊销余额,产品分类,激活开始月份,激活结束月份 
广汇汽车,广汇,36,4,2017-05,1128.2052,2017-05,2020-04-30 00:00:00,282.0513,31.339033333333337,250.7122666666667,877.4929333333334,376.06840000000005,501.4245333333334,376.06840000000005,125.35613333333333,125.35613333333335,0,0,0,0,0,追踪器,2017-01-01 00:00:00,2019-12-31 00:00:00
广汇汽车,广汇,36,1329,2017-05,374846.1778,2017-05,2020-04-30 00:00:00,282.05130007524457,10412.393827777778,83299.15062222222,291547.0271777778,124948.72593333333,166598.30124444445,124948.72593333333,41649.57531111111,41649.57531111111,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,63,2017-05,17769.2319,2017-05,2020-04-30 00:00:00,282.05129999999997,493.589775,3948.7182,13820.5137,5923.0773,7897.4364,5923.0773,1974.3590999999997,1974.3591,0,0,0,0,0,追踪器,2017-03-01 00:00:00,2020-02-29 00:00:00
广汇汽车,广汇,36,1722,2017-06,488359.0053,2017-06,2020-05-31 00:00:00,283.5998869337979,13565.527925,94958.695475,393400.309825,162786.3351,230613.974725,162786.3351,67827.63962500001,67827.639625,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,1056,2017-07,300102.5831,2017-07,2020-06-30 00:00:00,284.1880521780303,8336.18286388889,50017.09718333333,250085.48591666666,100034.19436666666,150051.29155,100034.19436666666,50017.09718333333,50017.09718333333,0,0,0,0,0,追踪器,2017-05-01 00:00:00,2020-04-30 00:00:00
广汇汽车,广汇,36,602,2017-07,170205.139,2017-07,2020-06-30 00:00:00,282.73278903654483,4727.920527777777,28367.523166666666,141837.61583333334,56735.04633333333,85102.56950000001,56735.04633333333,28367.52316666668,28367.523166666666,0,0,0,0,0,追踪器,2017-04-01 00:00:00,2020-03-31 00:00:00
广汇汽车,广汇,36,48,2017-07,13538.4624,2017-07,2020-06-30 00:00:00,282.0513,376.0684,2256.4103999999998,11282.052,4512.8207999999995,6769.2312,4512.8207999999995,2256.4104000000007,2256.4103999999998,0,0,0,0,0,追踪器,2017-06-01 00:00:00,2020-05-31 00:00:00
广汇汽车,广汇,36,1933,2017-08,553820.5476,2017-08,2020-07-31 00:00:00,286.50830191412314,15383.904100000002,76919.52050000001,476901.02710000006,184606.84920000003,292294.1779,184606.84920000003,107687.32869999998,107687.32870000001,0,0,0,0,0,追踪器,2017-06-01 00:00:00,2020-05-31 00:00:00
重庆泽恩汽车用品有限公司,直销,36,81,2017-09,37730.6098,2017-09,2020-08-31 00:00:00,465.80999753086417,1048.0724944444444,1048.0724944444444,36682.537305555554,12576.869933333332,24105.667372222222,12576.869933333332,11528.79743888889,11528.797438888889,0,0,0,0,0,追踪器,2017-12-01 00:00:00,2020-11-30 00:00:00
重庆卡达能汽车用品有限公司,直销,36,20,2017-09,11538.3997,2017-09,2020-08-31 00:00:00,576.919985,320.51110277777775,961.5333083333333,10576.866391666666,3846.133233333333,6730.733158333333,3846.133233333333,2884.5999250000004,2884.5999249999995,0,0,0,0,0,追踪器,2017-10-01 00:00:00,2020-09-30 00:00:00
广汇汽车,广汇,36,989,2017-09,287564.1203,2017-09,2020-08-31 00:00:00,290.7625078867543,7987.892230555556,31951.568922222225,255612.5513777778,95854.70676666667,159757.84461111113,95854.70676666667,63903.137844444456,63903.13784444445,0,0,0,0,0,追踪器,2017-06-01 00:00:00,2020-05-31 00:00:00
广汇汽车,广汇,36,1328,2017-09,390769.2546,2017-09,2020-08-31 00:00:00,294.25395677710844,10854.701516666666,43418.806066666664,347350.4485333333,130256.41819999999,217094.03033333333,130256.41819999999,86837.61213333334,86837.61213333333,0,0,0,0,0,追踪器,2017-07-01 00:00:00,2020-06-30 00:00:00
长春沃杰斯汽车科技有限公司,直销,36,304,2017-09,153298.0767,2017-09,2020-08-31 00:00:00,504.2699891447369,4258.279908333334,8516.559816666668,144781.51688333333,51099.35890000001,93682.15798333332,51099.35890000001,42582.79908333332,42582.79908333334,0,0,0,0,0,追踪器,2017-11-01 00:00:00,2020-10-31 00:00:00
广汇汽车,广汇,36,1530,2017-10,461897.4633,2017-10,2020-09-30 00:00:00,301.8937668627451,12830.485091666667,38491.455275,423406.008025,153965.8211,269440.186925,153965.8211,115474.36582499999,115474.365825,0,0,0,0,0,追踪器,2017-07-01 00:00:00,2020-06-30 00:00:00
武汉融易租汽车服务有限公司,直销,36,50,2017-10,33312.3688,2017-10,2020-09-30 00:00:00,666.2473759999999,925.3435777777777,0,0,0,0,0,0,0,0,0,0,0,0,追踪器,,
