客户名称,渠道,服务期限,数量,结算月份,不含税收入,开始计费月份,结束计费月份,不含税单价,月摊收入,2017年摊销金额,2017年末累计摊销余额,2018年摊销金额,2018年末累计摊销余额,2019年摊销金额,2019年末累计摊销余额,2020年摊销金额,2020年末累计摊销余额,2021年摊销金额,2021年末累计摊销余额,2022年摊销金额,2022年末累计摊销余额,产品分类 
广州盟锐科技发展有限公司,直销,12,17,2020-08,0.0,2020-08,2021-07-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,记录仪
广州盟锐科技发展有限公司,直销,12,5,2020-09,0.0,2020-09,2021-08-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,记录仪
广州盟锐科技发展有限公司,直销,12,2,2020-10,0.0,2020-10,2021-09-30 00:00:00,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,记录仪
广州盟锐科技发展有限公司,直销,12,1,2020-11,0.0,2020-11,2021-10-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,记录仪
运城市通达汽车销售服务有限公司,直销,36,9,2020-11,0.0,2020-11,2023-10-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,记录仪
成都创晟汽车服务有限公司,直销,36,253,2021-01,-20202.0496,2021-01,2023-12-31 00:00:00,-79.84999841897232,-561.1680444444444,0,0,0,0,0,0,0,0,-6734.0165333333325,0,-6734.0165333333325,0,追踪器
云南鸿超汽车服务有限公司,直销,36,174,2021-02,-39477.7813,2021-02,2024-01-31 00:00:00,-226.88380057471267,-1096.605036111111,0,0,0,0,0,0,0,0,-12062.655397222221,0,-13159.260433333333,0,追踪器
成都创晟汽车服务有限公司,直销,12,400,2021-03,-23321.1197,2021-03,2022-02-28 00:00:00,-58.30279925,-1943.4266416666667,0,0,0,0,0,0,0,0,-19434.266416666665,0,-3886.8532833333334,0,追踪器
福建省联合车尚贸易有限公司,直销,36,5,2021-03,-342.04,2021-03,2024-02-29 00:00:00,-68.408,-9.501111111111111,0,0,0,0,0,0,0,0,-95.01111111111112,0,-114.01333333333334,0,追踪器
甘肃诚利源汽车销售服务有限公司,直销,36,2,2021-03,-122.7,2021-03,2024-02-29 00:00:00,-61.35,-3.408333333333333,0,0,0,0,0,0,0,0,-34.08333333333333,0,-40.9,0,追踪器
成都创晟汽车服务有限公司,直销,36,2518,2021-03,-146806.4484,2021-03,2024-02-29 00:00:00,-58.30279920571882,-4077.9568999999997,0,0,0,0,0,0,0,0,-40779.568999999996,0,-48935.4828,0,追踪器
广汇汽车,广汇,36,5,2021-04,0.0,2021-04,2024-03-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
成都车亿科技有限公司,直销,36,65,2021-04,-3928.5999,2021-04,2024-03-31 00:00:00,-60.439998461538465,-109.127775,0,0,0,0,0,0,0,0,-982.149975,0,-1309.5333,0,追踪器
贵阳嘉鑫汽车装饰经营部,直销,12,93,2021-05,0.0,2021-05,2022-04-30 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,车充
成都车亿科技有限公司,直销,36,18,2021-05,-1087.92,2021-05,2024-04-30 00:00:00,-60.440000000000005,-30.220000000000002,0,0,0,0,0,0,0,0,-241.76000000000002,0,-362.64000000000004,0,追踪器
广汇汽车,广汇,12,1,2021-05,0.0,2021-05,2022-04-30 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
四川安普克斯环保科技有限公司,直销,36,165,2021-06,0.0,2021-06,2024-05-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
贵阳嘉鑫汽车装饰经营部,直销,12,7,2021-06,0.0,2021-06,2022-05-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,车充
贵阳嘉鑫汽车装饰经营部,直销,12,7,2021-07,0.0,2021-07,2022-06-30 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,车充
上海鲁悦汽车服务有限公司,直销,36,32,2021-07,-2198.0801,2021-07,2024-06-30 00:00:00,-68.690003125,-61.05778055555556,0,0,0,0,0,0,0,0,-366.3466833333334,0,-732.6933666666667,0,追踪器
广东盛世创客汽车科技有限公司,直销,36,14,2021-08,-768.0106,2021-08,2024-07-31 00:00:00,-54.857899999999994,-21.333627777777778,0,0,0,0,0,0,0,0,-106.66813888888889,0,-256.00353333333334,0,追踪器
四川众联晟通国际贸易有限公司,直销,36,29,2021-08,0.0,2021-08,2024-07-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
江西乐车林贸易有限公司,直销,36,206,2021-08,-12074.7721,2021-08,2024-07-31 00:00:00,-58.615398543689324,-335.4103361111111,0,0,0,0,0,0,0,0,-1677.0516805555555,0,-4024.9240333333337,0,追踪器
聊城荣泰网络科技有限公司,直销,36,47,2021-09,0.0,2021-09,2024-08-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,车充
绵阳鑫驰骋商贸有限公司,代销,36,108,2021-09,-5805.7234,2021-09,2024-08-31 00:00:00,-53.756698148148146,-161.27009444444445,0,0,0,0,0,0,0,0,-645.0803777777778,0,-1935.2411333333334,0,追踪器
广州盟锐科技发展有限公司,直销,36,11,2021-11,-589.8596,2021-11,2024-10-31 00:00:00,-53.6236,-16.384988888888888,0,0,0,0,0,0,0,0,-32.769977777777775,0,-196.61986666666667,0,追踪器
四川众联晟通国际贸易有限公司,直销,36,48,2021-11,0.0,2021-11,2024-10-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
四川众联晟通国际贸易有限公司,直销,12,14,2021-11,0.0,2021-11,2022-10-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
绵阳鑫驰骋商贸有限公司,代销,36,74,2021-11,-4131.3535,2021-11,2024-10-31 00:00:00,-55.829101351351355,-114.75981944444445,0,0,0,0,0,0,0,0,-229.5196388888889,0,-1377.1178333333332,0,追踪器
庞大精配网（天津）网络科技有限公司,代销,12,10,2021-11,0.0,2021-11,2022-10-31 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
安徽优盾信息科技有限公司,直销,36,30,2021-12,-3274.1311,2021-12,2024-11-30 00:00:00,-109.13770333333333,-90.94808611111111,0,0,0,0,0,0,0,0,-90.94808611111111,0,-1091.3770333333332,0,追踪器
上海冠松汽车用品发展有限公司,直销,36,1,2021-12,0.0,2021-12,2024-11-30 00:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,记录仪
