客户名称,渠道,服务期限,数量,结算月份,不含税收入,开始计费月份,结束计费月份,不含税单价,月摊收入,2017年摊销金额,2017年末累计摊销余额,2018年摊销金额,2018年末累计摊销余额,2019年摊销金额,2019年末累计摊销余额,2020年摊销金额,2020年末累计摊销余额,2021年摊销金额,2021年末累计摊销余额,2022年摊销金额,2022年末累计摊销余额,产品分类 
广州盟锐科技发展有限公司,直销,12,17,2020-08,-3610.6199,2020-08,2021-07-31 00:00:00,-212.38940588235295,-300.8849916666667,0,0,0,0,0,0,-1504.4249583333335,0,-2106.1949416666666,0,0,0,记录仪
广州盟锐科技发展有限公司,直销,12,5,2020-09,-1061.947,2020-09,2021-08-31 00:00:00,-212.38939999999997,-88.49558333333333,0,0,0,0,0,0,-353.9823333333333,0,-707.9646666666666,0,0,0,记录仪
广州盟锐科技发展有限公司,直销,12,2,2020-10,-424.7788,2020-10,2021-09-30 00:00:00,-212.3894,-35.39823333333333,0,0,0,0,0,0,-106.19469999999998,0,-318.5841,0,0,0,记录仪
运城市通达汽车销售服务有限公司,直销,36,9,2020-11,-1433.6288,2020-11,2023-10-31 00:00:00,-159.29208888888888,-39.82302222222222,0,0,0,0,0,0,-79.64604444444444,0,-477.87626666666665,0,-477.87626666666665,0,记录仪
广州盟锐科技发展有限公司,直销,12,1,2020-11,-212.3894,2020-11,2021-10-31 00:00:00,-212.3894,-17.699116666666665,0,0,0,0,0,0,-35.39823333333333,0,-176.99116666666666,0,0,0,记录仪
成都创晟汽车服务有限公司,直销,36,253,2021-01,-23982.3053,2021-01,2023-12-31 00:00:00,-94.79172055335968,-666.1751472222222,0,0,0,0,0,0,0,0,-7994.101766666667,0,-7994.101766666667,0,追踪器
云南鸿超汽车服务有限公司,直销,36,174,2021-02,-28225.2355,2021-02,2024-01-31 00:00:00,-162.21399712643677,-784.0343194444445,0,0,0,0,0,0,0,0,-8624.377513888889,0,-9408.411833333334,0,追踪器
成都创晟汽车服务有限公司,直销,36,2518,2021-03,-510416.0185,2021-03,2024-02-29 00:00:00,-202.70691759332803,-14178.22273611111,0,0,0,0,0,0,0,0,-141782.22736111112,0,-170138.67283333332,0,追踪器
成都创晟汽车服务有限公司,直销,12,400,2021-03,-95575.238,2021-03,2022-02-28 00:00:00,-238.938095,-7964.603166666667,0,0,0,0,0,0,0,0,-79646.03166666666,0,-15929.206333333334,0,追踪器
福建省联合车尚贸易有限公司,直销,36,5,2021-03,-398.23,2021-03,2024-02-29 00:00:00,-79.646,-11.061944444444444,0,0,0,0,0,0,0,0,-110.61944444444444,0,-132.74333333333334,0,追踪器
甘肃诚利源汽车销售服务有限公司,直销,36,2,2021-03,-833.5282,2021-03,2024-02-29 00:00:00,-416.7641,-23.15356111111111,0,0,0,0,0,0,0,0,-231.5356111111111,0,-277.8427333333333,0,追踪器
广汇汽车,广汇,36,5,2021-04,-2287.6111,2021-04,2024-03-31 00:00:00,-457.52222,-63.54475277777778,0,0,0,0,0,0,0,0,-571.902775,0,-762.5370333333334,0,记录仪
成都车亿科技有限公司,直销,36,65,2021-04,-11504.4277,2021-04,2024-03-31 00:00:00,-176.9911953846154,-319.56743611111114,0,0,0,0,0,0,0,0,-2876.106925,0,-3834.8092333333334,0,追踪器
广汇汽车,广汇,12,1,2021-05,-430.9735,2021-05,2022-04-30 00:00:00,-430.9735,-35.914458333333336,0,0,0,0,0,0,0,0,-287.3156666666667,0,-143.65783333333334,0,记录仪
贵阳嘉鑫汽车装饰经营部,直销,12,93,2021-05,-23451.0946,2021-05,2022-04-30 00:00:00,-252.16230752688173,-1954.2578833333334,0,0,0,0,0,0,0,0,-15634.063066666668,0,-7817.031533333334,0,车充
成都车亿科技有限公司,直销,36,18,2021-05,-3185.8415,2021-05,2024-04-30 00:00:00,-176.99119444444443,-88.49559722222222,0,0,0,0,0,0,0,0,-707.9647777777777,0,-1061.9471666666666,0,追踪器
四川安普克斯环保科技有限公司,直销,36,165,2021-06,-25004.4294,2021-06,2024-05-31 00:00:00,-151.54199636363637,-694.5674833333334,0,0,0,0,0,0,0,0,-4861.972383333334,0,-8334.8098,0,记录仪
